,Orig,con1_arr,con1,con2_arr,con2,Dest,mkt_airline1,mkt_flight1,op_airline1,op_flight1,depDay1,d_time_1,a_time_1,depTime_U1,arrTime_U1,acrt1,distSeg1,mkt_airline2,mkt_flight2,op_airline2,op_flight2,depDay2,d_time_2,a_time_2,depTime_U2,arrTime_U2,acrt2,distSeg2,mkt_airline3,mkt_flight3,op_airline3,op_flight3,depDay3,d_time_3,a_time_3,depTime_U3,arrTime_U3,acrt3,distSeg3,dist,segn,week,depDay,deptime,deptime_U,arrtime,arrtime_U,elaptime,detour,arrDay,stops,dmcc,nLegs,paxe,cluster,OnD,TOT_pax,market_share
0,SXF,CAI,CAI,,,MED,MS,732.0,MS,732.0,2.0,15:45:00,19:45:00,2019-09-17 13:45:00+00:00,2019-09-17 17:45:00+00:00,73H,2872.51,MS,675.0,MS,675.0,2.0,22:50:00,01:40:00,2019-09-17 20:50:00+00:00,2019-09-17 22:40:00+00:00,320,1026.61,,,,,,,,,,,,3899.12,2.0,201938.0,2.0,15:45:00,2019-09-17 13:45:00+00:00,01:40:00,2019-09-17 22:40:00+00:00,535.0,1.02676,3.0,1.0,,2.0,0.0,0111,SXF-MED,0.0,0.0
1,SXF,CAI,CAI,,,MED,MS,732.0,MS,732.0,4.0,15:45:00,19:45:00,2019-09-19 13:45:00+00:00,2019-09-19 17:45:00+00:00,73H,2872.51,MS,675.0,MS,675.0,4.0,22:50:00,01:40:00,2019-09-19 20:50:00+00:00,2019-09-19 22:40:00+00:00,320,1026.61,,,,,,,,,,,,3899.12,2.0,201938.0,4.0,15:45:00,2019-09-19 13:45:00+00:00,01:40:00,2019-09-19 22:40:00+00:00,535.0,1.02676,5.0,1.0,,2.0,0.0,0111,SXF-MED,0.0,0.0
2,SXF,CAI,CAI,,,MED,MS,732.0,MS,732.0,4.0,15:45:00,19:45:00,2019-09-19 13:45:00+00:00,2019-09-19 17:45:00+00:00,73H,2872.51,SV,318.0,SV,318.0,5.0,02:45:00,05:40:00,2019-09-20 00:45:00+00:00,2019-09-20 02:40:00+00:00,330,1026.61,,,,,,,,,,,,3899.12,2.0,201938.0,4.0,15:45:00,2019-09-19 13:45:00+00:00,05:40:00,2019-09-20 02:40:00+00:00,775.0,1.02676,5.0,1.0,,2.0,0.0,0111,SXF-MED,0.0,0.0
3,SXF,CAI,CAI,,,MED,MS,732.0,MS,732.0,5.0,15:45:00,19:45:00,2019-09-20 13:45:00+00:00,2019-09-20 17:45:00+00:00,73H,2872.51,MS,675.0,MS,675.0,5.0,22:50:00,01:40:00,2019-09-20 20:50:00+00:00,2019-09-20 22:40:00+00:00,73H,1026.61,,,,,,,,,,,,3899.12,2.0,201938.0,5.0,15:45:00,2019-09-20 13:45:00+00:00,01:40:00,2019-09-20 22:40:00+00:00,535.0,1.02676,6.0,1.0,,2.0,0.0,0111,SXF-MED,0.0,0.0
4,SXF,CAI,CAI,,,MED,MS,732.0,MS,732.0,6.0,15:45:00,19:45:00,2019-09-21 13:45:00+00:00,2019-09-21 17:45:00+00:00,73H,2872.51,MS,675.0,MS,675.0,6.0,22:50:00,01:40:00,2019-09-21 20:50:00+00:00,2019-09-21 22:40:00+00:00,73H,1026.61,,,,,,,,,,,,3899.12,2.0,201938.0,6.0,15:45:00,2019-09-21 13:45:00+00:00,01:40:00,2019-09-21 22:40:00+00:00,535.0,1.02676,7.0,1.0,,2.0,0.0,0111,SXF-MED,0.0,0.0
5,SXF,CAI,CAI,,,MED,MS,732.0,MS,732.0,7.0,15:45:00,19:45:00,2019-09-22 13:45:00+00:00,2019-09-22 17:45:00+00:00,73H,2872.51,MS,675.0,MS,675.0,7.0,22:50:00,01:40:00,2019-09-22 20:50:00+00:00,2019-09-22 22:40:00+00:00,73H,1026.61,,,,,,,,,,,,3899.12,2.0,201938.0,7.0,15:45:00,2019-09-22 13:45:00+00:00,01:40:00,2019-09-22 22:40:00+00:00,535.0,1.02676,1.0,1.0,,2.0,0.0,0111,SXF-MED,0.0,0.0
6,SXF,SAW,SAW,,,MED,PC,980.0,PC,980.0,4.0,13:10:00,17:05:00,2019-09-19 11:10:00+00:00,2019-09-19 14:05:00+00:00,738,1750.54,TK,138.0,TK,138.0,4.0,22:05:00,01:40:00,2019-09-19 19:05:00+00:00,2019-09-19 22:40:00+00:00,738,2053.43,,,,,,,,,,,,3803.98,2.0,201938.0,4.0,13:10:00,2019-09-19 11:10:00+00:00,01:40:00,2019-09-19 22:40:00+00:00,690.0,1.0017,5.0,1.0,,2.0,0.0,0111,SXF-MED,0.0,0.0
7,TXL,IST,IST,,,MED,TK,1726.0,TK,1726.0,2.0,14:50:00,18:40:00,2019-09-17 12:50:00+00:00,2019-09-17 15:40:00+00:00,321,1713.05,TK,98.0,TK,98.0,3.0,01:10:00,04:40:00,2019-09-17 22:10:00+00:00,2019-09-18 01:40:00+00:00,332,2114.68,,,,,,,,,,,,3827.73,2.0,201938.0,2.0,14:50:00,2019-09-17 12:50:00+00:00,04:40:00,2019-09-18 01:40:00+00:00,770.0,1.00121,3.0,1.0,,2.0,0.0,0111,TXL-MED,6.02,0.0
8,TXL,IST,IST,,,MED,TK,1726.0,TK,1726.0,3.0,14:50:00,18:40:00,2019-09-18 12:50:00+00:00,2019-09-18 15:40:00+00:00,321,1713.05,TK,98.0,TK,98.0,4.0,01:10:00,04:40:00,2019-09-18 22:10:00+00:00,2019-09-19 01:40:00+00:00,332,2114.68,,,,,,,,,,,,3827.73,2.0,201938.0,3.0,14:50:00,2019-09-18 12:50:00+00:00,04:40:00,2019-09-19 01:40:00+00:00,770.0,1.00121,4.0,1.0,,2.0,0.0,0111,TXL-MED,6.02,0.0
9,TXL,IST,IST,,,MED,TK,1726.0,TK,1726.0,4.0,14:50:00,18:40:00,2019-09-19 12:50:00+00:00,2019-09-19 15:40:00+00:00,321,1713.05,TK,98.0,TK,98.0,5.0,01:10:00,04:40:00,2019-09-19 22:10:00+00:00,2019-09-20 01:40:00+00:00,332,2114.68,,,,,,,,,,,,3827.73,2.0,201938.0,4.0,14:50:00,2019-09-19 12:50:00+00:00,04:40:00,2019-09-20 01:40:00+00:00,770.0,1.00121,5.0,1.0,,2.0,0.0,0111,TXL-MED,6.02,0.0
10,TXL,IST,IST,,,MED,TK,1726.0,TK,1726.0,5.0,14:50:00,18:40:00,2019-09-20 12:50:00+00:00,2019-09-20 15:40:00+00:00,321,1713.05,TK,98.0,TK,98.0,6.0,01:10:00,04:40:00,2019-09-20 22:10:00+00:00,2019-09-21 01:40:00+00:00,32B,2114.68,,,,,,,,,,,,3827.73,2.0,201938.0,5.0,14:50:00,2019-09-20 12:50:00+00:00,04:40:00,2019-09-21 01:40:00+00:00,770.0,1.00121,6.0,1.0,,2.0,0.0,0111,TXL-MED,6.02,0.0
11,TXL,IST,IST,,,MED,TK,1726.0,TK,1726.0,6.0,14:50:00,18:40:00,2019-09-21 12:50:00+00:00,2019-09-21 15:40:00+00:00,32B,1739.78,TK,98.0,TK,98.0,7.0,01:10:00,04:40:00,2019-09-21 22:10:00+00:00,2019-09-22 01:40:00+00:00,333,2085.37,,,,,,,,,,,0.0,3821.79,2.0,201938.0,6.0,14:50:00,2019-09-21 12:50:00+00:00,04:40:00,2019-09-22 01:40:00+00:00,770.0,1.0009,1.0,1.0,DY,2.0,3.44,0111,TXL-MED,6.02,0.57
12,TXL,IST,IST,,,MED,TK,1726.0,TK,1726.0,7.0,14:50:00,18:40:00,2019-09-22 12:50:00+00:00,2019-09-22 15:40:00+00:00,32B,1713.05,TK,98.0,TK,98.0,1.0,01:10:00,04:40:00,2019-09-22 22:10:00+00:00,2019-09-23 01:40:00+00:00,32B,2114.68,,,,,,,,,,,,3827.73,2.0,201938.0,7.0,14:50:00,2019-09-22 12:50:00+00:00,04:40:00,2019-09-23 01:40:00+00:00,770.0,1.00121,1.0,1.0,,2.0,0.0,0111,TXL-MED,6.02,0.0
