,Orig,con1_arr,con1,con2_arr,con2,Dest,mkt_airline1,mkt_flight1,op_airline1,op_flight1,depDay1,d_time_1,a_time_1,depTime_U1,arrTime_U1,acrt1,distSeg1,mkt_airline2,mkt_flight2,op_airline2,op_flight2,depDay2,d_time_2,a_time_2,depTime_U2,arrTime_U2,acrt2,distSeg2,mkt_airline3,mkt_flight3,op_airline3,op_flight3,depDay3,d_time_3,a_time_3,depTime_U3,arrTime_U3,acrt3,distSeg3,dist,segn,week,depDay,deptime,deptime_U,arrtime,arrtime_U,elaptime,detour,arrDay,stops,dmcc,nLegs,paxe,cluster,OnD,TOT_pax,market_share
0,AOK,,,,,VIE,OS,9124.0,OS,9124.0,2.0,09:45:00,11:35:00,2019-09-17 06:45:00+00:00,2019-09-17 09:35:00+00:00,321,1655.93,,,,,,,,,,,0.0,,,,,,,,,,,0.0,1655.93,1.0,201938.0,2.0,09:45:00,2019-09-17 06:45:00+00:00,11:35:00,2019-09-17 09:35:00+00:00,170.0,1.0,2.0,0.0,DY,1.0,10.32,0806,AOK-VIE,49.02,0.21
1,AOK,,,,,VIE,OS,9124.0,OS,9124.0,4.0,21:30:00,23:10:00,2019-09-19 18:30:00+00:00,2019-09-19 21:10:00+00:00,320,1655.93,,,,,,,,,,,0.0,,,,,,,,,,,0.0,1655.93,1.0,201938.0,4.0,21:30:00,2019-09-19 18:30:00+00:00,23:10:00,2019-09-19 21:10:00+00:00,160.0,1.0,4.0,0.0,DY,1.0,6.02,0806,AOK-VIE,49.02,0.12
2,AOK,ATH,ATH,,,VIE,OA,5.0,OA,5.0,4.0,06:30:00,07:35:00,2019-09-19 03:30:00+00:00,2019-09-19 04:35:00+00:00,DH4,399.719,A3,860.0,A3,860.0,4.0,08:30:00,09:50:00,2019-09-19 05:30:00+00:00,2019-09-19 07:50:00+00:00,320,1277.74,,,,,,,,,,,,1677.46,2.0,201938.0,4.0,06:30:00,2019-09-19 03:30:00+00:00,09:50:00,2019-09-19 07:50:00+00:00,260.0,1.01246,4.0,1.0,,2.0,0.0,0806,AOK-VIE,49.02,0.0
3,AOK,ATH,ATH,,,VIE,A3,7005.0,OA,5.0,6.0,06:30:00,07:35:00,2019-09-21 03:30:00+00:00,2019-09-21 04:35:00+00:00,DH4,399.38,A3,860.0,A3,860.0,6.0,08:30:00,09:50:00,2019-09-21 05:30:00+00:00,2019-09-21 07:50:00+00:00,320,1277.11,,,,,,,,,,,0.0,1655.93,2.0,201938.0,6.0,06:30:00,2019-09-21 03:30:00+00:00,09:50:00,2019-09-21 07:50:00+00:00,260.0,1.0124,6.0,1.0,DY,2.0,6.02,0806,AOK-VIE,49.02,0.12
4,AOK,ATH,ATH,,,ZRH,A3,7005.0,OA,5.0,4.0,06:30:00,07:35:00,2019-09-19 03:30:00+00:00,2019-09-19 04:35:00+00:00,DH4,399.38,A3,850.0,A3,850.0,4.0,08:30:00,10:20:00,2019-09-19 05:30:00+00:00,2019-09-19 08:20:00+00:00,320,1638.06,,,,,,,,,,,0.0,2037.31,2.0,201938.0,4.0,06:30:00,2019-09-19 03:30:00+00:00,10:20:00,2019-09-19 08:20:00+00:00,290.0,1.0001,4.0,1.0,DY,2.0,7.74,0806,AOK-ZRH,8.6,0.9
5,AOK,ATH,ATH,,,ZRH,A3,7005.0,OA,5.0,6.0,06:30:00,07:35:00,2019-09-21 03:30:00+00:00,2019-09-21 04:35:00+00:00,DH4,399.38,A3,850.0,A3,850.0,6.0,08:30:00,10:20:00,2019-09-21 05:30:00+00:00,2019-09-21 08:20:00+00:00,320,1638.06,,,,,,,,,,,0.0,2037.31,2.0,201938.0,6.0,06:30:00,2019-09-21 03:30:00+00:00,10:20:00,2019-09-21 08:20:00+00:00,290.0,1.0001,6.0,1.0,DY,2.0,0.86,0806,AOK-ZRH,8.6,0.1
6,ATH,IST,IST,,,GRZ,A3,992.0,A3,992.0,1.0,13:40:00,15:15:00,2019-09-16 10:40:00+00:00,2019-09-16 12:15:00+00:00,319,553.848,TK,1459.0,TK,1459.0,1.0,17:50:00,19:05:00,2019-09-16 14:50:00+00:00,2019-09-16 17:05:00+00:00,319,1237.16,,,,,,,,,,,,1791.01,2.0,201938.0,1.0,13:40:00,2019-09-16 10:40:00+00:00,19:05:00,2019-09-16 17:05:00+00:00,385.0,1.46458,1.0,1.0,,2.0,0.0,0806,ATH-GRZ,53.32,0.0
7,ATH,IST,IST,,,GRZ,A3,992.0,A3,992.0,6.0,13:40:00,15:15:00,2019-09-21 10:40:00+00:00,2019-09-21 12:15:00+00:00,319,553.848,TK,1459.0,TK,1459.0,6.0,17:50:00,19:05:00,2019-09-21 14:50:00+00:00,2019-09-21 17:05:00+00:00,319,1237.16,,,,,,,,,,,,1791.01,2.0,201938.0,6.0,13:40:00,2019-09-21 10:40:00+00:00,19:05:00,2019-09-21 17:05:00+00:00,385.0,1.46458,6.0,1.0,,2.0,0.0,0806,ATH-GRZ,53.32,0.0
8,ATH,MUC,MUC,,,GRZ,A3,802.0,A3,802.0,1.0,08:35:00,10:15:00,2019-09-16 05:35:00+00:00,2019-09-16 08:15:00+00:00,321,1518.13,LH,2342.0,LH,2342.0,1.0,13:05:00,13:55:00,2019-09-16 11:05:00+00:00,2019-09-16 11:55:00+00:00,CR9,313.381,,,,,,,,,,,,1831.51,2.0,201938.0,1.0,08:35:00,2019-09-16 05:35:00+00:00,13:55:00,2019-09-16 11:55:00+00:00,380.0,1.49769,1.0,1.0,,2.0,0.0,0806,ATH-GRZ,53.32,0.0
9,ATH,MUC,MUC,,,GRZ,A3,802.0,A3,802.0,2.0,08:35:00,10:15:00,2019-09-17 05:35:00+00:00,2019-09-17 08:15:00+00:00,321,1518.13,LH,2342.0,LH,2342.0,2.0,12:50:00,13:40:00,2019-09-17 10:50:00+00:00,2019-09-17 11:40:00+00:00,CR9,313.381,,,,,,,,,,,,1831.51,2.0,201938.0,2.0,08:35:00,2019-09-17 05:35:00+00:00,13:40:00,2019-09-17 11:40:00+00:00,365.0,1.49769,2.0,1.0,,2.0,0.0,0806,ATH-GRZ,53.32,0.0
10,ATH,MUC,MUC,,,GRZ,A3,802.0,A3,802.0,3.0,08:35:00,10:15:00,2019-09-18 05:35:00+00:00,2019-09-18 08:15:00+00:00,321,1518.13,LH,2342.0,LH,2342.0,3.0,13:05:00,13:55:00,2019-09-18 11:05:00+00:00,2019-09-18 11:55:00+00:00,CR9,313.381,,,,,,,,,,,,1831.51,2.0,201938.0,3.0,08:35:00,2019-09-18 05:35:00+00:00,13:55:00,2019-09-18 11:55:00+00:00,380.0,1.49769,3.0,1.0,,2.0,0.0,0806,ATH-GRZ,53.32,0.0
11,ATH,MUC,MUC,,,GRZ,A3,802.0,A3,802.0,4.0,08:35:00,10:15:00,2019-09-19 05:35:00+00:00,2019-09-19 08:15:00+00:00,321,1518.13,LH,2342.0,LH,2342.0,4.0,12:50:00,13:40:00,2019-09-19 10:50:00+00:00,2019-09-19 11:40:00+00:00,CR9,313.381,,,,,,,,,,,,1831.51,2.0,201938.0,4.0,08:35:00,2019-09-19 05:35:00+00:00,13:40:00,2019-09-19 11:40:00+00:00,365.0,1.49769,4.0,1.0,,2.0,0.0,0806,ATH-GRZ,53.32,0.0
12,ATH,MUC,MUC,,,GRZ,A3,802.0,A3,802.0,5.0,08:35:00,10:15:00,2019-09-20 05:35:00+00:00,2019-09-20 08:15:00+00:00,321,1518.13,LH,2342.0,LH,2342.0,5.0,13:05:00,13:55:00,2019-09-20 11:05:00+00:00,2019-09-20 11:55:00+00:00,CR9,313.381,,,,,,,,,,,,1831.51,2.0,201938.0,5.0,08:35:00,2019-09-20 05:35:00+00:00,13:55:00,2019-09-20 11:55:00+00:00,380.0,1.49769,5.0,1.0,,2.0,0.0,0806,ATH-GRZ,53.32,0.0
13,ATH,MUC,MUC,,,GRZ,A3,802.0,A3,802.0,6.0,08:35:00,10:15:00,2019-09-21 05:35:00+00:00,2019-09-21 08:15:00+00:00,321,1518.13,LH,2342.0,LH,2342.0,6.0,12:50:00,13:40:00,2019-09-21 10:50:00+00:00,2019-09-21 11:40:00+00:00,CR9,313.381,,,,,,,,,,,,1831.51,2.0,201938.0,6.0,08:35:00,2019-09-21 05:35:00+00:00,13:40:00,2019-09-21 11:40:00+00:00,365.0,1.49769,6.0,1.0,,2.0,0.0,0806,ATH-GRZ,53.32,0.0
