,Orig,con1_arr,con1,con2_arr,con2,Dest,mkt_airline1,mkt_flight1,op_airline1,op_flight1,depDay1,d_time_1,a_time_1,depTime_U1,arrTime_U1,acrt1,distSeg1,mkt_airline2,mkt_flight2,op_airline2,op_flight2,depDay2,d_time_2,a_time_2,depTime_U2,arrTime_U2,acrt2,distSeg2,mkt_airline3,mkt_flight3,op_airline3,op_flight3,depDay3,d_time_3,a_time_3,depTime_U3,arrTime_U3,acrt3,distSeg3,dist,segn,week,depDay,deptime,deptime_U,arrtime,arrtime_U,elaptime,detour,arrDay,stops,dmcc,nLegs,paxe,cluster,OnD,TOT_pax,market_share
0,ABZ,AMS,AMS,,,ATH,KL,1440.0,KL,1440.0,1.0,06:00:00,08:40:00,2019-09-16 05:00:00+00:00,2019-09-16 06:40:00+00:00,73W,704.828,A3,625.0,A3,625.0,1.0,12:00:00,16:15:00,2019-09-16 10:00:00+00:00,2019-09-16 13:15:00+00:00,320,2183.74,,,,,,,,,,,,2888.57,2.0,201938.0,1.0,06:00:00,2019-09-16 05:00:00+00:00,16:15:00,2019-09-16 13:15:00+00:00,495.0,1.00563,1.0,1.0,,2.0,0.0,0308,ABZ-ATH,46.44,0.0
1,ABZ,AMS,AMS,,,ATH,KL,1440.0,KL,1440.0,1.0,06:00:00,08:40:00,2019-09-16 05:00:00+00:00,2019-09-16 06:40:00+00:00,73W,704.828,KL,1575.0,KL,1575.0,1.0,12:20:00,16:35:00,2019-09-16 10:20:00+00:00,2019-09-16 13:35:00+00:00,73W,2183.74,,,,,,,,,,,,2888.57,2.0,201938.0,1.0,06:00:00,2019-09-16 05:00:00+00:00,16:35:00,2019-09-16 13:35:00+00:00,515.0,1.00563,1.0,1.0,,2.0,0.0,0308,ABZ-ATH,46.44,0.0
2,ABZ,AMS,AMS,,,ATH,KL,1440.0,KL,1440.0,2.0,06:00:00,08:40:00,2019-09-17 05:00:00+00:00,2019-09-17 06:40:00+00:00,73W,704.828,KL,1575.0,KL,1575.0,2.0,12:20:00,16:35:00,2019-09-17 10:20:00+00:00,2019-09-17 13:35:00+00:00,73H,2183.74,,,,,,,,,,,,2888.57,2.0,201938.0,2.0,06:00:00,2019-09-17 05:00:00+00:00,16:35:00,2019-09-17 13:35:00+00:00,515.0,1.00563,2.0,1.0,,2.0,0.0,0308,ABZ-ATH,46.44,0.0
3,ABZ,AMS,AMS,,,ATH,KL,1440.0,KL,1440.0,3.0,06:00:00,08:40:00,2019-09-18 05:00:00+00:00,2019-09-18 06:40:00+00:00,73W,704.828,A3,625.0,A3,625.0,3.0,12:00:00,16:15:00,2019-09-18 10:00:00+00:00,2019-09-18 13:15:00+00:00,321,2183.74,,,,,,,,,,,,2888.57,2.0,201938.0,3.0,06:00:00,2019-09-18 05:00:00+00:00,16:15:00,2019-09-18 13:15:00+00:00,495.0,1.00563,3.0,1.0,,2.0,0.0,0308,ABZ-ATH,46.44,0.0
4,ABZ,AMS,AMS,,,ATH,KL,1440.0,KL,1440.0,3.0,06:00:00,08:40:00,2019-09-18 05:00:00+00:00,2019-09-18 06:40:00+00:00,73W,702.97,KL,1575.0,KL,1575.0,3.0,12:20:00,16:35:00,2019-09-18 10:20:00+00:00,2019-09-18 13:35:00+00:00,73H,2180.19,,,,,,,,,,,0.0,2867.09,2.0,201938.0,3.0,06:00:00,2019-09-18 05:00:00+00:00,16:35:00,2019-09-18 13:35:00+00:00,515.0,1.0056,3.0,1.0,Y,2.0,1.72,0308,ABZ-ATH,46.44,0.04
5,ABZ,AMS,AMS,,,ATH,KL,1440.0,KL,1440.0,4.0,06:00:00,08:40:00,2019-09-19 05:00:00+00:00,2019-09-19 06:40:00+00:00,73W,704.828,A3,625.0,A3,625.0,4.0,12:00:00,16:15:00,2019-09-19 10:00:00+00:00,2019-09-19 13:15:00+00:00,321,2183.74,,,,,,,,,,,,2888.57,2.0,201938.0,4.0,06:00:00,2019-09-19 05:00:00+00:00,16:15:00,2019-09-19 13:15:00+00:00,495.0,1.00563,4.0,1.0,,2.0,0.0,0308,ABZ-ATH,46.44,0.0
6,ABZ,AMS,AMS,,,ATH,KL,1440.0,KL,1440.0,4.0,06:00:00,08:40:00,2019-09-19 05:00:00+00:00,2019-09-19 06:40:00+00:00,73W,704.828,KL,1575.0,KL,1575.0,4.0,12:20:00,16:35:00,2019-09-19 10:20:00+00:00,2019-09-19 13:35:00+00:00,73H,2183.74,,,,,,,,,,,,2888.57,2.0,201938.0,4.0,06:00:00,2019-09-19 05:00:00+00:00,16:35:00,2019-09-19 13:35:00+00:00,515.0,1.00563,4.0,1.0,,2.0,0.0,0308,ABZ-ATH,46.44,0.0
7,ABZ,AMS,AMS,,,ATH,KL,1440.0,KL,1440.0,5.0,06:00:00,08:40:00,2019-09-20 05:00:00+00:00,2019-09-20 06:40:00+00:00,73W,704.828,KL,1575.0,KL,1575.0,5.0,12:20:00,16:35:00,2019-09-20 10:20:00+00:00,2019-09-20 13:35:00+00:00,73H,2183.74,,,,,,,,,,,,2888.57,2.0,201938.0,5.0,06:00:00,2019-09-20 05:00:00+00:00,16:35:00,2019-09-20 13:35:00+00:00,515.0,1.00563,5.0,1.0,,2.0,0.0,0308,ABZ-ATH,46.44,0.0
8,ABZ,AMS,AMS,,,ATH,KL,1440.0,KL,1440.0,6.0,06:00:00,08:40:00,2019-09-21 05:00:00+00:00,2019-09-21 06:40:00+00:00,73W,704.828,A3,625.0,A3,625.0,6.0,12:00:00,16:15:00,2019-09-21 10:00:00+00:00,2019-09-21 13:15:00+00:00,321,2183.74,,,,,,,,,,,,2888.57,2.0,201938.0,6.0,06:00:00,2019-09-21 05:00:00+00:00,16:15:00,2019-09-21 13:15:00+00:00,495.0,1.00563,6.0,1.0,,2.0,0.0,0308,ABZ-ATH,46.44,0.0
9,ABZ,AMS,AMS,,,ATH,KL,1440.0,KL,1440.0,6.0,06:00:00,08:40:00,2019-09-21 05:00:00+00:00,2019-09-21 06:40:00+00:00,73W,702.97,KL,1575.0,KL,1575.0,6.0,12:20:00,16:35:00,2019-09-21 10:20:00+00:00,2019-09-21 13:35:00+00:00,73H,2180.19,,,,,,,,,,,0.0,2867.09,2.0,201938.0,6.0,06:00:00,2019-09-21 05:00:00+00:00,16:35:00,2019-09-21 13:35:00+00:00,515.0,1.0056,6.0,1.0,DY,2.0,0.86,0308,ABZ-ATH,46.44,0.02
