,Orig,con1_arr,con1,con2_arr,con2,Dest,mkt_airline1,mkt_flight1,op_airline1,op_flight1,depDay1,d_time_1,a_time_1,depTime_U1,arrTime_U1,acrt1,distSeg1,mkt_airline2,mkt_flight2,op_airline2,op_flight2,depDay2,d_time_2,a_time_2,depTime_U2,arrTime_U2,acrt2,distSeg2,mkt_airline3,mkt_flight3,op_airline3,op_flight3,depDay3,d_time_3,a_time_3,depTime_U3,arrTime_U3,acrt3,distSeg3,dist,segn,week,depDay,deptime,deptime_U,arrtime,arrtime_U,elaptime,detour,arrDay,stops,dmcc,nLegs,paxe,cluster,OnD,TOT_pax,market_share
0,OTP,BRU,BRU,,,FNC,RO,371.0,RO,371.0,6.0,07:40:00,09:30:00,2019-09-21 04:40:00+00:00,2019-09-21 07:30:00+00:00,73W,1759.37,SN,3823.0,SN,3823.0,6.0,13:25:00,16:20:00,2019-09-21 11:25:00+00:00,2019-09-21 15:20:00+00:00,320,2666.04,,,,,,,,,,,,4425.42,2.0,201938.0,6.0,07:40:00,2019-09-21 04:40:00+00:00,16:20:00,2019-09-21 15:20:00+00:00,640.0,1.13256,6.0,1.0,,2.0,0.0,1005.0,OTP-FNC,0.0,0.0
1,OTP,CDG,CDG,,,FNC,AF,1089.0,AF,1089.0,1.0,06:05:00,08:20:00,2019-09-16 03:05:00+00:00,2019-09-16 06:20:00+00:00,32A,1857.43,TO,3458.0,TO,3458.0,1.0,12:20:00,16:30:00,2019-09-16 10:20:00+00:00,2019-09-16 15:30:00+00:00,73H,2392.21,,,,,,,,,,,,4249.64,2.0,201938.0,1.0,06:05:00,2019-09-16 03:05:00+00:00,16:30:00,2019-09-16 15:30:00+00:00,745.0,1.08758,1.0,1.0,,3.0,0.0,1005.0,OTP-FNC,0.0,0.0
2,OTP,CDG,CDG,,,FNC,AF,1089.0,AF,1089.0,2.0,06:05:00,08:20:00,2019-09-17 03:05:00+00:00,2019-09-17 06:20:00+00:00,320,1857.43,TO,3458.0,TO,3458.0,2.0,12:20:00,16:30:00,2019-09-17 10:20:00+00:00,2019-09-17 15:30:00+00:00,73H,2392.21,,,,,,,,,,,,4249.64,2.0,201938.0,2.0,06:05:00,2019-09-17 03:05:00+00:00,16:30:00,2019-09-17 15:30:00+00:00,745.0,1.08758,2.0,1.0,,3.0,0.0,1005.0,OTP-FNC,0.0,0.0
3,OTP,CDG,CDG,,,FNC,AF,1089.0,AF,1089.0,3.0,06:05:00,08:20:00,2019-09-18 03:05:00+00:00,2019-09-18 06:20:00+00:00,32A,1857.43,TO,3458.0,TO,3458.0,3.0,12:20:00,16:30:00,2019-09-18 10:20:00+00:00,2019-09-18 15:30:00+00:00,73H,2392.21,,,,,,,,,,,,4249.64,2.0,201938.0,3.0,06:05:00,2019-09-18 03:05:00+00:00,16:30:00,2019-09-18 15:30:00+00:00,745.0,1.08758,3.0,1.0,,3.0,0.0,1005.0,OTP-FNC,0.0,0.0
4,OTP,CDG,CDG,,,FNC,AF,1089.0,AF,1089.0,4.0,06:05:00,08:20:00,2019-09-19 03:05:00+00:00,2019-09-19 06:20:00+00:00,32A,1857.43,TO,3458.0,TO,3458.0,4.0,12:20:00,16:30:00,2019-09-19 10:20:00+00:00,2019-09-19 15:30:00+00:00,73H,2392.21,,,,,,,,,,,,4249.64,2.0,201938.0,4.0,06:05:00,2019-09-19 03:05:00+00:00,16:30:00,2019-09-19 15:30:00+00:00,745.0,1.08758,4.0,1.0,,3.0,0.0,1005.0,OTP-FNC,0.0,0.0
5,OTP,CDG,CDG,,,FNC,AF,1089.0,AF,1089.0,5.0,06:05:00,08:20:00,2019-09-20 03:05:00+00:00,2019-09-20 06:20:00+00:00,32A,1857.43,TO,3458.0,TO,3458.0,5.0,12:20:00,16:30:00,2019-09-20 10:20:00+00:00,2019-09-20 15:30:00+00:00,73H,2392.21,,,,,,,,,,,,4249.64,2.0,201938.0,5.0,06:05:00,2019-09-20 03:05:00+00:00,16:30:00,2019-09-20 15:30:00+00:00,745.0,1.08758,5.0,1.0,,3.0,0.0,1005.0,OTP-FNC,0.0,0.0
6,OTP,CDG,CDG,,,FNC,AF,1089.0,AF,1089.0,7.0,06:05:00,08:20:00,2019-09-22 03:05:00+00:00,2019-09-22 06:20:00+00:00,32A,1857.43,TO,3458.0,TO,3458.0,7.0,12:30:00,16:30:00,2019-09-22 10:30:00+00:00,2019-09-22 15:30:00+00:00,73H,2392.21,,,,,,,,,,,,4249.64,2.0,201938.0,7.0,06:05:00,2019-09-22 03:05:00+00:00,16:30:00,2019-09-22 15:30:00+00:00,745.0,1.08758,7.0,1.0,,3.0,0.0,1005.0,OTP-FNC,0.0,0.0
7,OTP,FRA,FRA,,,FNC,LH,1423.0,LH,1423.0,3.0,06:00:00,07:30:00,2019-09-18 03:00:00+00:00,2019-09-18 05:30:00+00:00,32N,1453.48,LH,1170.0,LH,1170.0,3.0,10:15:00,13:30:00,2019-09-18 08:15:00+00:00,2019-09-18 12:30:00+00:00,321,2837.92,,,,,,,,,,,,4291.41,2.0,201938.0,3.0,06:00:00,2019-09-18 03:00:00+00:00,13:30:00,2019-09-18 12:30:00+00:00,570.0,1.09826,3.0,1.0,,2.0,0.0,1005.0,OTP-FNC,0.0,0.0
8,OTP,FRA,FRA,,,FNC,LH,1423.0,LH,1423.0,6.0,06:00:00,07:30:00,2019-09-21 03:00:00+00:00,2019-09-21 05:30:00+00:00,32N,1453.48,LH,1170.0,LH,1170.0,6.0,10:10:00,13:25:00,2019-09-21 08:10:00+00:00,2019-09-21 12:25:00+00:00,32Q,2837.92,,,,,,,,,,,,4291.41,2.0,201938.0,6.0,06:00:00,2019-09-21 03:00:00+00:00,13:25:00,2019-09-21 12:25:00+00:00,565.0,1.09826,6.0,1.0,,2.0,0.0,1005.0,OTP-FNC,0.0,0.0
9,OTP,FRA,FRA,,,FNC,RO,301.0,RO,301.0,4.0,08:35:00,10:15:00,2019-09-19 05:35:00+00:00,2019-09-19 08:15:00+00:00,73H,1453.48,DE,1570.0,DE,1570.0,4.0,12:10:00,15:25:00,2019-09-19 10:10:00+00:00,2019-09-19 14:25:00+00:00,32S,2837.92,,,,,,,,,,,,4291.41,2.0,201938.0,4.0,08:35:00,2019-09-19 05:35:00+00:00,15:25:00,2019-09-19 14:25:00+00:00,530.0,1.09826,4.0,1.0,,2.0,0.0,1005.0,OTP-FNC,0.0,0.0
